date,team,opponent,odds,grade,ev,units,result,profit
2025-11-15,SEA,SJS,-145,B+,2.9%,0.010461825137803617,WIN,0.69u
2025-11-05,SJS,SEA,128,A,3.6%,0.007086705050228578,WIN,1.42u
2025-11-29,SJS,VGK,270,A+,25.3%,0.02344447322438391,LOSS,-1.00u
2025-12-04,BOS,STL,125,A+,9.7%,0.019469222800805652,WIN,1.25u
2025-11-05,STL,BUF,125,B+,5.5%,N/A,WIN,1.20u
2025-11-01,STL,CBJ,126,A+,12.1%,N/A,LOSS,-1.00u
2025-11-26,NJD,STL,-137,A,4.3%,0.014581390216179543,WIN,0.73u
2025-11-22,STL,NYI,115,A,3.6%,0.007881408626669717,WIN,1.12u
2025-11-24,NYR,STL,-140,A,4.5%,0.01578620522461484,WIN,0.71u
2025-11-20,PHI,STL,-124,A+,5.8%,0.018115615796293654,WIN,0.81u
2025-11-18,TOR,STL,-115,A+,8.0%,0.023115507587014302,WIN,0.87u
2025-11-04,STL,WSH,125,A,8.9%,N/A,LOSS,-1.00u
2025-11-04,COL,TBL,-140,B,4.4%,N/A,WIN,0.71u
2025-11-15,TBL,FLA,114,B+,2.7%,0.006006159123310503,WIN,1.14u
2025-12-02,NYI,TBL,122,A,4.4%,0.008989099566098767,WIN,1.22u
2025-11-02,UTA,TBL,100,A+,21.3%,N/A,LOSS,-1.00u
2025-11-05,VGK,TBL,-125,A,8.2%,N/A,LOSS,-1.00u
2025-11-22,WSH,TBL,-120,B+,3.3%,0.010009611635866476,LOSS,-1.00u
2025-11-10,TOR,BOS,-135,B,3.5%,N/A,LOSS,-1.00u
2025-11-26,CBJ,TOR,-106,A+,5.5%,0.014661421690590499,LOSS,-1.00u
2025-10-29,TOR,CBJ,-102,A+,13.9%,N/A,LOSS,-1.00u
2025-10-29,UNDER 6.5,TOR,115,A+,20.7%,N/A,LOSS,-1.00u
2025-11-15,CHI,TOR,110,A,4.9%,0.011074693062894833,WIN,1.10u
2025-11-22,TOR,MTL,125,A+,21.2%,0.042436599547016396,LOSS,-1.00u
2025-11-01,TOR,PHI,-118,A,8.5%,N/A,WIN,0.85u
2025-11-29,PIT,TOR,-106,A+,12.7%,0.033685214997269494,LOSS,-1.00u
2025-11-17,UTA,ANA,-114,A,4.5%,0.012879459153514461,LOSS,-1.00u
2025-11-04,BUF,UTA,116,B,3.5%,N/A,LOSS,-1.00u
2025-11-07,UTA,MTL,100,B,4.5%,N/A,LOSS,-1.00u
2025-11-08,UTA,OTT,102,B,3.3%,N/A,LOSS,-1.00u
2025-11-18,SJS,UTA,142,A+,5.3%,0.00931238466110486,WIN,1.20u
2025-11-29,UTA,STL,-110,A,3.9%,0.010775688574476364,LOSS,-1.00u
2025-11-05,TOR,UTA,-141,B,3.2%,N/A,WIN,0.71u
2025-12-02,VAN,COL,285,B+,3.1%,0.00271336623068146,LOSS,-1.00u
2025-11-17,VAN,FLA,235,A+,23.2%,0.024715029245082842,LOSS,-1.00u
2025-11-04,NSH,VAN,-115,B,3.9%,N/A,LOSS,-1.00u
2025-11-28,SJS,VAN,-102,A+,5.2%,0.013192044050371417,WIN,0.98u
2025-10-30,OVER 5.5,VAN,-128,B,5.0%,N/A,WIN,0.76u
2025-11-16,VAN,TBL,150,A+,10.6%,0.017604719317019995,WIN,1.50u
2025-11-22,VGK,ANA,-145,B+,2.6%,0.009580973860312819,LOSS,-1.00u
2025-11-08,ANA,WPG,122,A+,28.5%,N/A,WIN,1.22u
2025-11-28,WPG,CAR,185,A+,10.1%,0.013662063559334888,LOSS,-1.00u
2025-11-15,CGY,WPG,115,A+,8.0%,0.01734127633862514,LOSS,-1.00u
2025-12-06,WPG,EDM,160,A+,8.4%,0.013057659044436575,LOSS,-1.00u
2025-11-06,SJS,WPG,165,A+,52.1%,N/A,WIN,1.65u
