Date,Game,Pick,Odds,Grade,EV%,Outcome,Units Risked,Profit,Status
2025-11-29,"Georgia Tech @ Drake",Georgia Tech,-170,F,-9.10,WIN,0.5,0.29,LOSING_GRADE
2025-11-29,"Houston Christian @ Georgia Southern",Georgia Southern,-280,F,-11.40,WIN,0.5,0.18,LOSING_GRADE
2025-11-29,"Howard @ Mount St. Mary's",Mount St. Mary's,-135,A+,17.50,WIN,5,3.70,LOSING_GRADE
2025-11-29,"James Madison @ George Mason",George Mason,-715,F,-7.10,WIN,0.5,0.07,LOSING_GRADE
2025-11-29,"Kansas City @ Weber State",Weber State,-625,F,-16.10,WIN,0.5,0.08,LOSING_GRADE
2025-11-29,"La Salle @ Pennsylvania",Pennsylvania,-167,F,-11.70,WIN,0.5,0.30,LOSING_GRADE
2025-11-29,"Lipscomb @ Southeast Missouri State",Southeast Missouri State,-130,F,-0.20,LOSS,0.5,-0.50,LOSING_GRADE
2025-11-29,"Longwood @ Maine",Longwood,-200,D,-2.50,LOSS,0.5,-0.50,PROFITABLE_GRADE
2025-11-29,"Manhattan @ Army",Manhattan,-120,A+,23.60,LOSS,5,-5.00,LOSING_GRADE
2025-11-29,"Mercer @ Elon",Elon,-120,A+,19.90,LOSS,5,-5.00,LOSING_GRADE
2025-11-29,"Merrimack @ Hofstra",Hofstra,-225,F,-13.40,WIN,0.5,0.22,LOSING_GRADE
2025-11-29,"Milwaukee @ Akron",Akron,-1000,F,-5.30,WIN,0.5,0.05,LOSING_GRADE
2025-11-29,"Monmouth @ Le Moyne",Monmouth,-300,F,-9.60,LOSS,0.5,-0.50,LOSING_GRADE
2025-11-29,"Montana State @ Utah State",Utah State,-3000,F,-3.80,WIN,0.5,0.02,LOSING_GRADE
2025-11-29,"Morehead State @ IUPUI",IUPUI,-143,A,5.90,WIN,4,2.80,PROFITABLE_GRADE
2025-11-29,"Pepperdine @ Cal State Fullerton",Pepperdine,-120,A+,12.50,LOSS,5,-5.00,LOSING_GRADE
2025-11-29,"Sacramento State @ Pacific",Pacific,-550,F,-22.20,WIN,0.5,0.18,LOSING_GRADE
2025-11-29,"Sacred Heart @ Penn State",Penn State,-1400,F,-2.70,WIN,0.5,0.07,LOSING_GRADE
2025-11-29,"Seattle @ UC Santa Barbara",Seattle,-160,F,-5.60,LOSS,0.5,-0.50,LOSING_GRADE
2025-11-29,"Siena @ American University",Siena,-135,A+,5.80,WIN,5,3.70,LOSING_GRADE
2025-11-29,"Southeastern Louisiana @ Navy",Navy,-120,F,-6.10,LOSS,0.5,-0.50,LOSING_GRADE
2025-11-29,"Southern University @ Northwestern State",Northwestern State,150,A+,25.00,LOSS,5,-5.00,LOSING_GRADE
2025-11-29,"South Carolina State @ Winthrop",Winthrop,-3000,F,-18.50,WIN,0.5,0.02,LOSING_GRADE
2025-11-29,"Stephen F. Austin @ Texas-Arlington",Stephen F. Austin,100,C,1.10,LOSS,0.5,-0.50,LOSING_GRADE
2025-11-29,"Texas State @ Lehigh",Texas State,-250,F,-14.00,LOSS,0.5,-0.50,LOSING_GRADE
2025-11-29,"UC Riverside @ Utah Tech",Utah Tech,-190,F,-3.60,WIN,0.5,0.26,LOSING_GRADE
2025-11-29,"USC Upstate @ Nebraska",Nebraska,-10000,F,-20.10,WIN,0.5,0.01,LOSING_GRADE
2025-11-29,"Virginia Military @ UCF",UCF,-20000,F,-11.20,WIN,0.5,0.00,LOSING_GRADE
2025-11-29,"Western Carolina @ High Point",High Point,-1430,F,-8.90,WIN,0.5,0.03,LOSING_GRADE
2025-11-29,"Western Michigan @ Valparaiso",Valparaiso,-195,D,-2.10,WIN,0.5,0.26,PROFITABLE_GRADE
2025-11-29,"Wofford @ Eastern Kentucky",Eastern Kentucky,110,A+,7.90,LOSS,5,-5.00,LOSING_GRADE
