i,date,sport,mkt,matchup,side,path,tier,odds,units,result,pnl,meanPct,top2Pct,meanClv,nHighPct,nElite,pctEdge,opposed,S1_meanPct60,S3_nHigh2,S5_top2_65,S7_A_only,S8_combo,S9_edge_top2,forWallets
31,2026-06-22,MLB,ML,2026-06-22_MLB_hou_tor,Toronto Blue Jays,A,MINI,-131,3,W,2.29,68.6,68.6,3.34,1,1,,N,KEEP,CUT,KEEP,KEEP,KEEP,KEEP,eeabaf:69%
32,2026-06-22,MLB,TOTAL,2026-06-22_MLB_bal_laa_total,Over 8.5,A,MINI,-102,3,L,-3,58.9,58.9,1.24,1,1,-11.1,Y,CUT,CUT,CUT,CUT,CUT,CUT,"1e8f33:52%,70135d:65%"
33,2026-06-22,MLB,TOTAL,2026-06-22_MLB_chc_nym_total,Over 8.5,A,MINI,-110,3,W,2.73,52.2,52.2,-0.35,0,0,,N,CUT,CUT,CUT,CUT,CUT,CUT,1e8f33:52%
34,2026-06-22,MLB,TOTAL,2026-06-22_MLB_hou_tor_total,Under 6.5,A,MINI,-110,3,W,2.73,59.9,63.8,-0.76,1,1,,N,CUT,CUT,CUT,CUT,CUT,CUT,"e05213:55%,7923c4:73%,1e8f33:52%"
35,2026-06-22,MLB,TOTAL,2026-06-22_MLB_nyy_det_total,Under 8.5,A,TOP,-104,4,W,3.85,65.7,65.7,1.36,2,1,0.3,Y,KEEP,KEEP,KEEP,KEEP,KEEP,KEEP,"c668b3:60%,5b1e50:71%"
36,2026-06-23,MLB,ML,2026-06-23_MLB_atl_sdp,Atlanta Braves,A,MINI,-110,3,L,-3,66.8,74.5,2,5,5,,N,KEEP,KEEP,KEEP,KEEP,KEEP,KEEP,"2f2a9e:52%,bc35e3:78%,0f9d74:70%,8ec926:66%,b51a56:63%,5b1e50:70%"
37,2026-06-23,MLB,ML,2026-06-23_MLB_bal_laa,Baltimore Orioles,A,MINI,-142,3,L,-3,58.1,61.4,1.47,1,1,6.2,Y,CUT,CUT,CUT,CUT,CUT,CUT,"2f2a9e:52%,1e8f33:51%,5b1e50:70%"
38,2026-06-23,MLB,TOTAL,2026-06-23_MLB_mil_cin_total,Over 9.5,A,MINI,103,2.5,L,-2.5,51.5,51.5,-0.38,0,0,,N,CUT,CUT,CUT,CUT,CUT,CUT,1e8f33:51%
39,2026-06-24,MLB,ML,2026-06-24_MLB_atl_sdp,Atlanta Braves,A,MINI,-118,3,L,-3,50.7,50.7,-0.4,0,0,-26.9,Y,CUT,CUT,CUT,CUT,CUT,CUT,1e8f33:51%
40,2026-06-24,SOC,ML,2026-06-24_SOC_hai_mar,Morocco,A,TOP,-350,4,W,1.14,63.2,72.5,0.31,4,3,-6,Y,KEEP,KEEP,KEEP,KEEP,KEEP,CUT,"c9bba3:50%,0f9d74:70%,946418:69%,7b4652:55%,12192c:75%,c911a4:60%"
