date,sport,mkt,matchup,side,agsTier,units,staked,outcome,top2Pct,meanPct,nFor,forWallets
2026-06-23,MLB,ML,"Baltimore Orioles @ Los Angeles Angels",away,PREMIUM,3,1,LOSS,69.65,60.79,4,"5b1e50:70%,eeabaf:69%"
2026-06-24,MLB,ML,"Atlanta Braves @ San Diego Padres",away,PREMIUM,3,1,LOSS,73.79,59.61,8,"bc35e3:78%,0f9d74:70%"
2026-06-24,MLB,ML,"Boston Red Sox @ Colorado Rockies",home,PREMIUM,4,1,WIN,65.07,65.07,2,"ad88a3:71%,4c64aa:59%"
2026-06-24,SOC,ML,"Haiti @ Morocco",home,PREMIUM,4,1,WIN,72.5,64.81,8,"12192c:75%,bc44b0:70%"
2026-06-25,SOC,ML,"Germany @ Ecuador",away,LOCK,1,1,LOSS,86.75,62.2,21,"95eb4c:89%,47cab2:85%"
2026-06-25,SOC,ML,"Netherlands @ Tunisia",away,ELITE,4,1,WIN,71.47,58.18,9,"11381f:74%,0f9d74:69%"
2026-06-25,SOC,ML,"United States @ Türkiye",away,WEAK,4,1,LOSS,83.73,61.24,10,"95eb4c:89%,43020b:79%"
2026-06-26,MLB,ML,"Atlanta Braves @ San Francisco Giants",away,PREMIUM,4,1,WIN,53.83,53.83,2,"4c64aa:57%,2f2a9e:50%"
2026-06-26,SOC,ML,"Belgium @ New Zealand",away,ELITE,4,1,WIN,68.19,59.19,3,"bc44b0:69%,5b1e50:67%"
2026-06-26,SOC,ML,"Spain @ Uruguay",away,LEAN,6,1,WIN,75.56,61.17,15,"bc35e3:77%,af1697:74%"
2026-06-26,SOC,ML,"France @ Norway",away,WEAK,4,1,WIN,70.98,51.67,12,"95eb4c:73%,bc44b0:69%"
2026-06-26,SOC,ML,"IR Iran @ Egypt",home,LEAN,1.5,1,LOSS,82.56,64.13,4,"99059d:100%,de3f67:65%"
2026-06-26,SOC,ML,"Saudi Arabia @ Cabo Verde",home,WEAK,1.5,1,LOSS,68.27,60.62,8,"0f9d74:68%,4d2125:68%"
2026-06-27,MLB,ML,"Chicago Cubs @ Milwaukee Brewers",home,WEAK,3,1,LOSS,57.79,57.79,2,"5b1e50:65%,1e8f33:50%"
2026-06-27,MLB,ML,"Cincinnati Reds @ Pittsburgh Pirates",away,WEAK,4,1,WIN,58.79,58.79,2,"eeabaf:67%,1e8f33:50%"
2026-06-27,MLB,ML,"Kansas City Royals @ Chicago White Sox",away,ELITE,1,1,LOSS,85.03,75.71,4,"daf4de:100%,bc44b0:70%"
2026-06-27,MLB,ML,"Athletics @ Los Angeles Angels",away,LOCK,4,1,LOSS,56.97,56.97,1,"4c64aa:57%"
2026-06-27,MLB,ML,"Philadelphia Phillies @ New York Mets",home,LOCK,4,1,WIN,85.03,72.33,5,"daf4de:100%,bc44b0:70%"
