date,sport,mkt,matchup,side,agsTier,units,staked,tracked,outcome,top2Pct,nFor
2026-06-14,MLB,ML,"Arizona Diamondbacks @ Cincinnati Reds",home,FADE,0,0,1,LOSS,73.42,2
2026-06-14,MLB,ML,"Atlanta Braves @ New York Mets",away,LOCK,1,1,0,LOSS,72.16,5
2026-06-14,MLB,ML,"Chicago Cubs @ San Francisco Giants",home,WEAK,0.25,1,0,WIN,77.32,4
2026-06-14,MLB,ML,"Colorado Rockies @ Athletics",home,ELITE,5,1,0,LOSS,73.33,6
2026-06-14,MLB,ML,"Houston Astros @ Kansas City Royals",away,PREMIUM,2.5,1,0,LOSS,57.36,1
2026-06-14,MLB,ML,"Los Angeles Dodgers @ Chicago White Sox",away,FADE,0,0,1,LOSS,70.97,3
2026-06-14,MLB,ML,"Miami Marlins @ Pittsburgh Pirates",home,FADE,0,0,1,LOSS,68.27,6
2026-06-14,MLB,ML,"New York Yankees @ Toronto Blue Jays",away,LOCK,1,1,0,WIN,70.97,4
2026-06-14,MLB,ML,"San Diego Padres @ Baltimore Orioles",home,FADE,0,0,1,LOSS,67.08,1
2026-06-14,MLB,ML,"Seattle Mariners @ Washington Nationals",away,FADE,0,0,1,LOSS,65.81,2
2026-06-14,MLB,ML,"St. Louis Cardinals @ Minnesota Twins",away,PREMIUM,3,1,0,LOSS,57.36,1
2026-06-14,MLB,ML,"Tampa Bay Rays @ Los Angeles Angels",away,WEAK,0.25,1,0,WIN,72.16,6
2026-06-14,MLB,ML,"Texas Rangers @ Boston Red Sox",away,FADE,0,0,1,WIN,74.33,7
2026-06-14,NHL,ML,"Hurricanes @ Golden Knights",away,WEAK,0.25,1,0,WIN,72.61,3
2026-06-14,SOC,ML,"Curaçao @ Germany",home,FADE,0,0,1,WIN,74.33,5
2026-06-14,SOC,ML,"Ecuador @ Côte d'Ivoire",away,FADE,0,0,1,LOSS,72.43,11
2026-06-14,SOC,ML,"Japan @ Netherlands",home,FADE,0,0,1,LOSS,81.79,10
2026-06-14,SOC,ML,"Tunisia @ Sweden",home,FADE,0,0,1,WIN,69.96,4
2026-06-15,MLB,ML,"Colorado Rockies @ Chicago Cubs",home,LOCK,0,0,1,WIN,59.16,1
