i,date,sport,mkt,matchup,side,path,hcTier,agsTier,odds,units,outcome,profit,meanPct,top2Pct,meanClv,nHighPct,nElite,pctEdge,opposed,S1,S5,S8,S8b,S9,forWallets
353,2026-07-03,MLB,total,2026-07-03_MLB_mil_ari_total,Over 9.5,B,RANK,LEAN,-111,4,WIN,3.6,65.8,65.8,2.33,2,2,9.7,Y,KEEP,KEEP,KEEP,KEEP,KEEP,"5b1e50:66%,70135d:65%"
354,2026-07-03,MLB,total,2026-07-03_MLB_sfg_col_total,Under 11.5,A,TOP+,PREMIUM,-110,5,LOSS,-5,51.7,51.7,-0.38,0,0,,N,CUT,CUT,CUT,CUT,CUT,1e8f33:52%
355,2026-07-03,MLB,total,2026-07-03_MLB_tbr_hou_total,Under 9,B,RANK,PREMIUM,-109,4,WIN,3.67,80.8,80.8,6.02,2,2,24.7,Y,KEEP,KEEP,KEEP,KEEP,KEEP,"a82a75:96%,70135d:65%"
356,2026-07-04,MLB,ml,2026-07-04_MLB_bal_cin,Baltimore Orioles,A,TOP+,PREMIUM,109,2.5,WIN,2.73,74.3,83.9,3.97,4,4,,N,KEEP,KEEP,KEEP,KEEP,KEEP,"7923c4:71%,ac9705:64%,a82a75:96%,70135d:65%"
357,2026-07-04,MLB,ml,2026-07-04_MLB_mia_oak,Miami Marlins,B,RANK,WEAK,-136,4,WIN,2.94,59.4,69.1,0.83,3,3,3.9,Y,CUT,KEEP,KEEP,KEEP,KEEP,"cd2f63:56%,9a69c2:73%,f2f960:44%,1e8f33:52%,70135d:65%,eeabaf:65%"
358,2026-07-04,MLB,ml,2026-07-04_MLB_mil_ari,Milwaukee Brewers,A,TOP+,ELITE,-149,5,LOSS,-5,58,58,0.61,1,1,-10.7,Y,CUT,CUT,CUT,CUT,CUT,"ac9705:64%,1e8f33:52%"
359,2026-07-04,SOC,ml,2026-07-04_SOC_fra_par,France,A,SUPER,ELITE,-525,6,WIN,1.14,50.5,63,-0.37,2,2,24.8,Y,CUT,CUT,CUT,CUT,CUT,"4edc5b:60%,95eb4c:50%,c911a4:59%,a0cff6:47%,138d9b:21%,5b1e50:66%"
360,2026-07-04,SOC,ml,2026-07-04_SOC_mar_can,Morocco,C,SHARP,WEAK,-120,3,WIN,2.5,54.8,80.6,4.14,7,8,-12.9,Y,CUT,KEEP,KEEP,KEEP,CUT,"de3f67:61%,cd2f63:56%,c2aeea:59%,fea6f5:42%,1e8f33:52%,7da3d5:60%,388d4c:26%,ad4d8b:83%,0f9d74:69%,2f2a9e:51%,4edc5b:60%,5b1e50:66%,78e8f1:43%,7a4cdf:28%,b839b3:52%,bc35e3:78%,c911a4:59%,cad739:40%"
361,2026-07-04,MLB,spread,2026-07-04_MLB_bal_cin_spread,Baltimore Orioles,A,TOP,ELITE,-192,4,WIN,2.08,60.2,68.1,-1.67,2,2,,N,KEEP,KEEP,KEEP,KEEP,KEEP,"f2f960:44%,4b912c:70%,5b1e50:66%"
362,2026-07-04,MLB,spread,2026-07-04_MLB_nym_atl_spread,New York Mets,A,TOP,PREMIUM,-143,4,LOSS,-4,53.5,53.5,-4.02,1,1,,N,CUT,CUT,CUT,CUT,CUT,"f2f960:44%,8ec926:63%"
363,2026-07-04,MLB,total,2026-07-04_MLB_det_tex_total,Under 8.5,A,TOP+,LEAN,-107,5,WIN,4.67,63.6,63.6,3.09,2,2,6.2,Y,KEEP,CUT,KEEP,KEEP,CUT,"ad88a3:61%,5b1e50:66%"
364,2026-07-04,MLB,total,2026-07-04_MLB_min_nyy_total,Over 9.5,A,TOP,ELITE,-110,4,WIN,3.64,66,66,1.78,1,1,,N,KEEP,KEEP,KEEP,KEEP,KEEP,5b1e50:66%
365,2026-07-04,MLB,total,2026-07-04_MLB_pit_wsh_total,Under 10.5,B,RANK,PREMIUM,-110,4,WIN,3.64,62.5,68.1,1.4,2,2,,N,KEEP,KEEP,KEEP,KEEP,KEEP,"2f2a9e:51%,4b912c:70%,5b1e50:66%"
366,2026-07-04,MLB,total,2026-07-04_MLB_sfg_col_total,Over 12.5,A,TOP+,PREMIUM,101,5,LOSS,-5,65.4,72,1.98,3,3,,N,KEEP,KEEP,KEEP,KEEP,KEEP,"1e8f33:52%,5b1e50:66%,70135d:65%,bc35e3:78%"
367,2026-07-04,MLB,total,2026-07-04_MLB_stl_chc_total,Over 8.5,C,SHARP,WEAK,-110,3,LOSS,-3,61.1,61.1,1.07,1,1,6.7,Y,KEEP,CUT,CUT,CUT,CUT,"1e8f33:52%,4b912c:70%"
368,2026-07-05,MLB,ml,2026-07-05_MLB_bos_laa,Boston Red Sox,A,MINI-,LOCK,-154,1,WIN,0.65,62.6,65.8,1.62,2,2,,N,KEEP,KEEP,KEEP,KEEP,KEEP,"cd2f63:56%,5b1e50:66%,70135d:65%"
369,2026-07-05,MLB,ml,2026-07-05_MLB_min_nyy,New York Yankees,A,TOP,PREMIUM,-131,4,LOSS,-4,59.1,67.8,-1.83,2,2,,N,CUT,KEEP,CUT,CUT,KEEP,"0f9d74:70%,f2f960:42%,5b1e50:66%"
370,2026-07-05,MLB,ml,2026-07-05_MLB_nym_atl,Atlanta Braves,A,TOP+,LEAN,-105,5,LOSS,-5,56.4,58.7,0.11,1,0,-7.7,Y,CUT,CUT,CUT,CUT,CUT,"7703d4:64%,2f2a9e:52%,1e8f33:53%"
371,2026-07-05,MLB,ml,2026-07-05_MLB_stl_chc,Chicago Cubs,A,TOP,PREMIUM,-142,4,WIN,2.82,67.8,67.8,1.68,2,2,,N,KEEP,KEEP,KEEP,KEEP,KEEP,"0f9d74:70%,5b1e50:66%"
372,2026-07-05,MLB,ml,2026-07-05_MLB_tbr_hou,Tampa Bay Rays,C,SHARP-PRIME,PREMIUM,103,2.5,LOSS,-2.5,83,83,5.3,2,2,30.8,Y,KEEP,KEEP,KEEP,KEEP,KEEP,"4b912c:69%,a82a75:97%"
373,2026-07-05,SOC,ml,2026-07-05_SOC_eng_mex,England,C,SHARP,WEAK,155,1.5,WIN,2.33,55.6,69.4,1.35,6,7,9.3,Y,CUT,KEEP,KEEP,KEEP,KEEP,"06c80c:44%,c9bba3:54%,bc44b0:69%,0f9d74:70%,7da3d5:62%,c911a4:60%,7a4cdf:27%,bc8b21:67%,a0cff6:47%,4b912c:69%,8da2ca:33%,5b1e50:66%"
374,2026-07-05,SOC,ml,2026-07-05_SOC_nor_bra,Brazil,A,CONFIRMED,LEAN,-130,1,LOSS,-1,45.2,60.8,0.11,1,3,-15.7,Y,CUT,CUT,CUT,CUT,CUT,"8bbab3:13%,de3f67:60%,7da3d5:62%,fea6f5:45%,2f2a9e:52%,7a4cdf:27%,8da2ca:33%,c911a4:60%,cd2f63:56%"
