Post id,Date,Post text,Post Link,Impressions,Likes,Engagements,Bookmarks,Shares,New follows,Replies,Reposts,Profile visits,Detail Expands,URL Clicks,Hashtag Clicks,Permalink Clicks
2099168135496569005,"Sun, Sep 13, 2026",@DormieThru9 Account page has the instructions,https://x.com/Real_NHL_Savant/status/2099168135496569005,34,1,2,0,0,0,0,0,1,0,0,0,0
2099143406257602567,"Sun, Sep 13, 2026",If you havent signed up for the free trial. I hope you see this. 👀 code - MVP25,https://x.com/Real_NHL_Savant/status/2099143406257602567,296,1,9,1,0,0,1,0,3,4,0,0,0
2099141798916411864,"Sun, Sep 13, 2026","JULY -$688. AUGUST -$848. Pretty easy to spot when he found us. September +$1,926. 52-28. 65%. He had two losing months before he found the site. Year-to-date was 114-220. +$340. That's the hole he was in. Then a three-day dip this week. He cut his unit to $20 and kept going. https://t.co/yV7SA7302F",https://x.com/Real_NHL_Savant/status/2099141798916411864,1492,7,188,0,0,0,2,0,26,19,0,0,0
2099138341975269554,"Sun, Sep 13, 2026",@matt28644 College football needs a little more time in the oven. To finish baking. Not the start I wanted there. But that ball state total.. 5 tds in the final 6 minutes of the game. To blow the over.,https://x.com/Real_NHL_Savant/status/2099138341975269554,62,0,0,0,0,0,0,0,0,0,0,0,0
2099119049590341799,"Sun, Sep 13, 2026",@Jeremy_Noel_V2 For sure! It’s for the longterm! There will always be another slate,https://x.com/Real_NHL_Savant/status/2099119049590341799,23,1,1,0,0,0,0,0,0,0,0,0,0
2099117976930648466,"Sun, Sep 13, 2026",SEPTEMBER IS THE BEST START WE'VE EVER HAD A couple down days isn't going to ruin the month. That includes a slow start to CFB. He's been on the site since before the tool even existed. +31.5 units yesterday. 14-4. All straights. +93 units through 13 days of September. His https://t.co/2KDMVRSznp,https://x.com/Real_NHL_Savant/status/2099117976930648466,1803,10,79,0,0,0,2,0,14,11,0,0,0
2099116681733804377,"Sun, Sep 13, 2026",@Thats_Alto I appreciate that! don't be afraid to share the success!,https://x.com/Real_NHL_Savant/status/2099116681733804377,41,0,1,0,0,0,1,0,0,0,0,0,0
2099115591697039721,"Sun, Sep 13, 2026",@HorseMan2828 feel free to reach out and DM.. happy to help get you orientated.,https://x.com/Real_NHL_Savant/status/2099115591697039721,27,1,1,0,0,0,0,0,0,0,0,0,0
2099115297118515319,"Sun, Sep 13, 2026",@Thats_Alto I mean look at this.. just MLB ML's..... when do you get this mix of win rate and ROI? https://t.co/jjCjfQsKHw,https://x.com/Real_NHL_Savant/status/2099115297118515319,63,1,13,0,0,0,1,0,1,3,0,0,0
2099114974060716047,"Sun, Sep 13, 2026",@Puddins_POP what a two day stretch for you to join on! Welcome aboard!,https://x.com/Real_NHL_Savant/status/2099114974060716047,23,1,2,0,0,0,0,0,1,0,0,0,0
2099114775770776006,"Sun, Sep 13, 2026",@PoppaVic_ Rangers win as well. Honestly one of the best days we've had. and we have had a lot of good days. volume was there today.,https://x.com/Real_NHL_Savant/status/2099114775770776006,71,0,1,0,0,0,0,0,1,0,0,0,0
2099114541309202572,"Sun, Sep 13, 2026",@FadeBrodie was this the bankroll to poverty comment? had that saved for a sunny day.,https://x.com/Real_NHL_Savant/status/2099114541309202572,17,0,0,0,0,0,0,0,0,0,0,0,0
2099114409457070146,"Sun, Sep 13, 2026",@ShayAvants damn A's they get smoked but texas made a come back. so my night ended okay,https://x.com/Real_NHL_Savant/status/2099114409457070146,27,1,1,0,0,0,0,0,0,0,0,0,0
2099114282138959964,"Sun, Sep 13, 2026",@Thats_Alto MLB did go crazy.. we have cracked the code on the MLB,https://x.com/Real_NHL_Savant/status/2099114282138959964,37,0,2,0,0,0,1,0,1,0,0,0,0
2099113711801700429,"Sun, Sep 13, 2026",@HorseMan2828 the v12 prediction engine does all the math and will suggest plays that look like this. when they offiicially lock in notifications are sent with unit size. You can play those or do your own thing.,https://x.com/Real_NHL_Savant/status/2099113711801700429,29,1,1,0,0,0,0,0,0,0,0,0,0
2099111171047448829,"Sun, Sep 13, 2026",@Jeremy_Noel_V2 that's a pretty solid day. this pace has been unreal to start the month! https://t.co/VEmDc1X56R,https://x.com/Real_NHL_Savant/status/2099111171047448829,29,1,2,0,0,0,1,0,0,0,0,0,0
2098964546132087120,"Sun, Sep 13, 2026",@DJohnson3636 What a nice looking day!,https://x.com/Real_NHL_Savant/status/2098964546132087120,72,0,0,0,0,0,0,0,0,0,0,0,0
2098958951224082644,"Sun, Sep 13, 2026",@BatBetsEV Not an ideal start. need to get those bats going to get out of this hole,https://x.com/Real_NHL_Savant/status/2098958951224082644,46,0,0,0,0,0,0,0,0,0,0,0,0
2098956450701697050,"Sun, Sep 13, 2026",@treveille_ I think so. That Rockies/tigers noon game is looking good!,https://x.com/Real_NHL_Savant/status/2098956450701697050,66,0,1,0,0,0,0,0,1,0,0,0,0
2098955075246813671,"Sun, Sep 13, 2026",@ShayAvants Ya we did. I think drawdown from the last peak was 17ish.. and we are almost 30 today.,https://x.com/Real_NHL_Savant/status/2098955075246813671,27,0,1,0,0,0,1,0,0,0,0,0,0
2098954617023349084,"Sun, Sep 13, 2026",@PoppaVic_ Yup. Looking forward to it!,https://x.com/Real_NHL_Savant/status/2098954617023349084,59,1,2,0,0,0,0,0,1,0,0,0,0
2098953272371351642,"Sun, Sep 13, 2026",@IsaiahWballer Having steak tomorrow for sure!,https://x.com/Real_NHL_Savant/status/2098953272371351642,58,1,2,0,0,0,0,0,1,0,0,0,0
2098952972612829424,"Sun, Sep 13, 2026",@matt28644 https://t.co/DuLBC4brcT,https://x.com/Real_NHL_Savant/status/2098952972612829424,71,0,2,0,0,0,0,0,2,0,0,0,0
2098952516876587239,"Sun, Sep 13, 2026",@ShayAvants Insane! https://t.co/lCgsu0bkxt,https://x.com/Real_NHL_Savant/status/2098952516876587239,68,1,3,0,0,0,0,0,0,2,0,0,0
2098951681832583279,"Sun, Sep 13, 2026",I said don't sleep on the MLB today. SHARPS were out. We had a day! I spent the morning under the hood after a few down days. Trying to get our new users and v12 back on winners. We've had the best day ever since the system launched. 11-4 for 29.86units.. with some plays https://t.co/QiJMDoFd73,https://x.com/Real_NHL_Savant/status/2098951681832583279,2002,20,182,0,2,0,9,1,9,19,0,0,0
2098941789906313580,"Sun, Sep 13, 2026","@DormieThru9 @YoBigSexy @thacashous1 It’s a very necessary evil when the plays/math depends fully on the sharp wallets. Their money is fluid, and the play has to be fluid. Appreciate you listening/understating how it works.",https://x.com/Real_NHL_Savant/status/2098941789906313580,68,0,0,0,0,0,0,0,0,0,0,0,0
2098939956072743082,"Sun, Sep 13, 2026","@DormieThru9 @YoBigSexy @thacashous1 Yes you’ve got it perfectly. And a long time ago on an earlier version I used to hard lock plays, so they weren’t flip flopping for users.. but it performed horribly because I would be locked in and action would come in late against the play that was locked. So now it’s flagged",https://x.com/Real_NHL_Savant/status/2098939956072743082,50,1,4,0,0,0,1,0,0,2,0,0,0
2098938039351349479,"Sun, Sep 13, 2026","@DormieThru9 @YoBigSexy @thacashous1 Well generally I try not to post things that aren’t locked. Because this exact thing happens from time to time, and I get it’s confusing if people don’t know. So I try not to do it. But yes I tell people to wait until lock, unless they just like the play.",https://x.com/Real_NHL_Savant/status/2098938039351349479,52,1,4,0,0,0,1,0,0,2,0,0,0
2098934667126718580,"Sun, Sep 13, 2026","@YoBigSexy @DormieThru9 @thacashous1 Not at all. It was flagged looked good, and sharp money came in on the marlins. Marlins was the locked play. Plays lock 15 minutes before Gametime. That’s why there is a timer on the cards. Notifications go out at official lock time. No different than last night when I posted",https://x.com/Real_NHL_Savant/status/2098934667126718580,51,0,1,0,0,0,1,0,0,0,0,0,0
2098917739469389928,"Sat, Sep 12, 2026",@PoppaVic_ Sweat free!,https://x.com/Real_NHL_Savant/status/2098917739469389928,33,1,2,0,0,0,1,0,0,0,0,0,0
2098915537711423779,"Sat, Sep 12, 2026",@Alex30522688355 Huge win!,https://x.com/Real_NHL_Savant/status/2098915537711423779,63,0,2,0,0,0,0,0,0,2,0,0,0
